,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
Normal-Adjusted (moved fuel to payload),675.0,0.0,0.0,3835.0,2500.0,300.0,6635.0,24.05,2.0,6.5,4.2,0.0,13,257.34,8.99,25.78,9.82962963,36997.0
B-2,725.0,1.0,1.0,4791.9,1544.0,300.0,6635.9,26.5,2.0,5.65,5.65,0.0,13,299.45,9.38,22.16,9.152993103,21984.0
B-7 (extreme efficiency prioritized),425.0,1.0,0.0,1758.7,4576.0,300.0,6634.7,55.0,2.0,2.23,2.23,0.0,13,245.3,49.33,27.05,15.61110588,74587.0
B-6 (extreme power prioritized),1000.0,1.0,1.0,7482.3,296.0,300.0,8078.3,24.05,2.0,7.5,7.5,0.0,13,360.75,6.41,22.39,8.07832,4488.0
B-8 (efficiency with more speed),500.0,1.0,1.0,2612.3,3723.0,300.0,6635.3,42.0,2.0,3.0,3.0,0.0,13,252.0,28.0,26.33,13.27064,65114.0
B-9 (efficiency with more speed),475.0,1.0,1.0,2380.3,3955.0,300.0,6635.3,40.0,2.0,3.1,3.1,0.0,13,248.0,25.81,26.76,13.96909474,72811.0
B-10 (efficiency with more speed),450.0,1.0,1.0,2156.3,4179.0,300.0,6635.3,50.0,2.0,2.45,2.45,0.0,13,245.0,40.82,27.08,14.74515556,81510.0
B-11,435.0,1.0,1.0,2073.1,4262.0,300.0,6635.1,52.0,2.0,2.4,2.4,0.0,13,249.6,43.33,26.58,15.25314943,77656.3
B-12,400.0,1.0,1.0,1836.3,4499.0,300.0,6635.3,50.0,2.0,2.55,2.55,0.0,13,255.0,39.22,26.02,16.5883,81884.0
B-13,415.0,1.0,1.0,1940.3,4395.0,300.0,6635.3,55.0,2.0,2.3,2.3,0.0,13,253.0,47.83,26.23,15.98872289,74446.9
B-14,390.0,1.0,1.0,1776.3,4560.0,280.0,6616.3,51.5,2.0,2.5,2.5,0.0,13,257.5,41.2,25.69,16.96492308,84340.5
B-25,405.0,1.0,1.0,1908.2,4696.0,300.0,6904.2,48.5,2.0,2.67,2.67,0.0,13,258.99,36.33,26.66,17.04750617,84423.72
B-26,405.0,1.0,1.0,1916.3,4600.0,300.0,6816.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.22,16.83041975,90009.24
B-27,405.0,1.0,1.0,1916.3,4268.0,300.0,6484.3,50.0,2.0,2.6,2.6,0.0,13,260.0,38.46,24.94,16.01066667,87031.42
B-28,405.0,1.0,1.0,1913.9,4598.0,300.0,6662.0,53.0,2.0,2.45,2.45,0.0,13,259.7,43.27,25.65,16.44938272,80227.94
B-29,405.0,1.0,1.0,1884.3,4500.0,300.0,6684.3,32.0,2.0,4.0,4.0,0.0,13,256.0,16.0,26.11,16.50449383,83170.08
B-30,405.0,1.0,1.0,1884.3,4595.0,300.0,6629.0,40.0,2.0,3.2,3.2,0.0,13,256.0,25.0,25.89,16.36790123,87853.59
B-31,405.0,1.0,1.0,1907.2,4600.0,300.0,6807.2,43.0,2.0,3.01,3.01,0.0,13,258.86,28.57,26.3,16.80790123,84989.7
B-32,405.0,1.0,1.0,1889.8,4616.0,300.0,6805.8,46.5,2.0,2.76,2.76,0.0,13,256.68,33.7,26.51,16.80434568,81033.0
B-33,425.0,1.0,1.0,2076.3,4421.0,300.0,6797.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.14,15.99369412,82209.26
B-34,450.0,1.0,1.0,2276.3,4226.6,300.0,6802.9,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.17,15.1176,81876.0
B-35,415.0,1.0,1.0,1996.3,4519.0,300.0,6815.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.21,16.42245783,87285.4
B-36,430.0,1.0,1.0,2116.3,4469.0,300.0,6885.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.48,16.01237209,84501.44
B-37,435.0,1.0,1.0,2156.3,4323.0,300.0,6779.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,26.07,15.58464368,86991.32
B-38 (same as B-26 with different weight),405.0,1.0,1.0,1916.3,5007.0,300.0,7223.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,27.78,17.83535802,91969.0
B-39 (same as B-26 with different weight),405.0,1.0,1.0,1916.3,5187.0,300.0,7403.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,28.47,18.27980247,97537.0
B-40 (same as B-26 with different weight),405.0,1.0,1.0,1916.3,5428.0,300.0,7644.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,29.4,18.8748642,104881.0
B-41 (same as B-26 with different weight),405.0,1.0,1.0,1916.3,5678.0,300.0,7894.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,30.36,19.49214815,108887.0
B-42 (same as B-26 with different weight),405.0,1.0,1.0,1916.3,6938.0,300.0,9154.3,52.0,2.0,2.5,2.5,0.0,13,260.0,41.6,35.21,22.60325926,110858.13
