,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
0,400,1,0,1676.2800000000002,5900,300,7876.280000000001,50,2,2.6,2.6,0,13,260.0,38.46153846153846,30.293384615384618,19.690700000000003,95218.13275923906
1,400,0,0,1656.2800000000002,5600,300,7556.280000000001,50,2,2.6,2.6,0,13,260.0,38.46153846153846,29.062615384615388,18.890700000000002,95218.13275923906
2,425,1,0,1876.2800000000002,5600,300,7776.280000000001,50,2,2.6,2.6,0,13,260.0,38.46153846153846,29.908769230769234,18.297129411764708,95218.13275923906
3,400,0,1,1676.2800000000002,5900,300,7876.280000000001,50,2,2.6,2.6,0,13,260.0,38.46153846153846,30.293384615384618,19.690700000000003,95218.13275923906
4,400,0,1,1752.2800000000002,5900,300,7952.280000000001,55,2,2.3,2.6,0,13,269.5,44.897959183673464,29.50753246753247,19.8807,95131.158507275
5,400,0,1,1752.2800000000002,5900,300,7952.280000000001,55,2,2.3,2.6,0,13,269.5,44.897959183673464,29.50753246753247,19.8807,95131.158507275
6,400,1,0,1752.2800000000002,5900,300,7952.280000000001,55,2,2.3,2.6,0,13,269.5,44.897959183673464,29.50753246753247,19.8807,95131.158507275
7,400,0,0,1784.2800000000002,5900,300,7984.280000000001,60,2,2.0,2.6,0,13,276.0,52.173913043478265,28.928550724637685,19.960700000000003,95131.158507275
8,425,0,0,1932.2800000000002,5600,300,7832.280000000001,55,2,2.3,2.6,0,13,269.5,44.897959183673464,29.06226345083488,18.42889411764706,95131.158507275
9,400,0,0,1732.2800000000002,5600,300,7632.280000000001,55,2,2.3,2.6,0,13,269.5,44.897959183673464,28.32014842300557,19.0807,95131.158507275
10,400,0,0,1784.2800000000002,5900,300,7984.280000000001,60,2,2.0,2.6,0,13,276.0,52.173913043478265,28.928550724637685,19.960700000000003,95131.158507275
11,400,1,0,1752.2800000000002,5900,300,7952.280000000001,55,2,2.6,2.3,0,13,269.5,44.897959183673464,29.50753246753247,19.8807,95094.86532826265
12,400,0,1,1752.2800000000002,5600,300,7652.280000000001,55,2,2.6,2.3,0,13,269.5,44.897959183673464,28.3943599257885,19.1307,95094.86532826265
13,400,1,0,1752.2800000000002,5900,300,7952.280000000001,55,2,2.6,2.3,0,13,269.5,44.897959183673464,29.50753246753247,19.8807,95094.86532826265
14,400,0,0,1732.2800000000002,5600,300,7632.280000000001,55,2,2.6,2.3,0,13,269.5,44.897959183673464,28.32014842300557,19.0807,95094.86532826265
15,400,1,1,1680.2800000000002,5900,300,7880.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,30.54372093023256,19.7007,94937.48788878237
16,400,0,1,1660.2800000000002,5600,300,7560.280000000001,60,2,2.3,2.0,0,13,258.0,55.81395348837209,29.30341085271318,18.9007,94937.48788878237
17,400,0,1,1660.2800000000002,5600,300,7560.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,29.30341085271318,18.9007,94937.48788878237
18,400,1,0,1660.2800000000002,5600,300,7560.280000000001,60,2,2.3,2.0,0,13,258.0,55.81395348837209,29.30341085271318,18.9007,94937.48788878237
19,425,1,0,1860.2800000000002,5600,300,7760.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,30.07860465116279,18.259482352941177,94937.48788878237
20,425,1,1,1880.2800000000002,5600,300,7780.280000000001,60,2,2.3,2.0,0,13,258.0,55.81395348837209,30.156124031007753,18.30654117647059,94937.48788878237
21,400,0,1,1660.2800000000002,5900,300,7860.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,30.4662015503876,19.6507,94937.48788878237
22,425,0,0,1840.2800000000002,5600,300,7740.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,30.001085271317834,18.212423529411765,94937.48788878237
23,425,1,1,1880.2800000000002,5600,300,7780.280000000001,60,2,2.3,2.0,0,13,258.0,55.81395348837209,30.156124031007753,18.30654117647059,94937.48788878237
24,425,0,0,1840.2800000000002,5600,300,7740.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,30.001085271317834,18.212423529411765,94937.48788878237
25,400,0,0,1640.2800000000002,5900,300,7840.280000000001,60,2,2.3,2.0,0,13,258.0,55.81395348837209,30.388682170542637,19.600700000000003,94937.48788878237
26,400,0,0,1784.2800000000002,5600,300,7684.280000000001,60,2,2.0,2.6,0,13,276.0,52.173913043478265,27.841594202898552,19.210700000000003,94825.37323608554
27,400,0,0,1784.2800000000002,5600,300,7684.280000000001,60,2,2.3,2.3,0,13,276.0,52.173913043478265,27.841594202898552,19.210700000000003,94789.0800570732
28,400,0,1,1804.2800000000002,5600,300,7704.280000000001,60,2,2.6,2.0,0,13,276.0,52.173913043478265,27.914057971014493,19.2607,94789.0800570732
29,400,0,0,1784.2800000000002,5600,300,7684.280000000001,60,2,2.6,2.0,0,13,276.0,52.173913043478265,27.841594202898552,19.210700000000003,94789.0800570732
30,400,1,1,1824.2800000000002,5600,300,7724.280000000001,60,2,2.3,2.3,0,13,276.0,52.173913043478265,27.98652173913044,19.3107,94789.0800570732
31,425,1,1,2016.2800000000002,5600,300,7916.280000000001,50,2,2.9,2.6,0,13,275.0,36.36363636363637,28.78647272727273,18.62654117647059,94613.63203643815
32,400,0,0,1656.2799999999997,5600,300,7556.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.06261538461539,18.8907,94577.33885742581
33,400,0,0,1656.2799999999997,5600,300,7556.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.06261538461539,18.8907,94577.33885742581
34,400,1,0,1676.2799999999997,5900,300,7876.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,30.29338461538462,19.6907,94577.33885742581
35,400,0,0,1656.2799999999997,5600,300,7556.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.06261538461539,18.8907,94577.33885742581
36,400,1,1,1696.2799999999997,5900,300,7896.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,30.370307692307698,19.7407,94577.33885742581
37,425,1,1,1896.2799999999997,5600,300,7796.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.985692307692315,18.344188235294116,94577.33885742581
38,425,0,0,1856.2799999999997,5600,300,7756.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.831846153846158,18.250070588235292,94577.33885742581
39,400,0,1,1676.2799999999997,5600,300,7576.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.139538461538468,18.9407,94577.33885742581
40,400,0,0,1656.2799999999997,5600,300,7556.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,29.06261538461539,18.8907,94577.33885742581
41,425,0,0,1976.2800000000002,5600,300,7876.280000000001,50,2,2.6,2.9,0,13,275.0,36.36363636363637,28.641018181818183,18.532423529411766,94547.86490250957
42,400,0,0,1656.2799999999997,5600,300,7556.28,50,2,2.3,2.9,0,13,259.99999999999994,38.46153846153847,29.06261538461539,18.8907,94547.86490250957
43,400,1,0,1676.2799999999997,5900,300,7876.28,50,2,2.3,2.9,0,13,259.99999999999994,38.46153846153847,30.29338461538462,19.6907,94547.86490250957
